RepairOrderNo	CustID	Qty	Description	Material	Condition	Color	SizeWgt	Price
12543	"23340"	1	"Patio RS"	"Acrylic"		"Green"	"31x23'6=728.5'"	0.0000
12544	"18003"	1	"Patio"	"Acrylic"		"Green/White/Gold/DkRed Stripe"	"15x13'9=206.25'"	0.0000
12544	"18003"	1	"Bag-customers"			"White ACI"		0.0000
12544	"18003"	1	"Tote"			"Blue"		0.0000
12545	"25907"	1	"Patio"	"Acrylic"		"Blue/Tan"	"19'2x13'9=263.59'"	0.0000
12546	"25908"	1	"Patio"	"Acrylic"		"White/Grey"	"14'1x13'1=184.17'"	0.0000
12547	"19262"	1	"Cover"	"Acrylic"		"Oyster"	"10'10x10'9=116.42'"	0.0000
12548	"25910"	1	"Cover"	"Acrylic"		"Blue"	"13'6x8'7=115.83'"	0.0000
12549	"25920"	1	"Camper Cover"	"A+V+Screen"		"Blue/Clear"	"~8'x8'=96.24'"	0.0000
12549	"25920"	1	"Connector + Frame"	"Acrylic"		"Blue"	"~9'5x3'6=25.9'"	0.0000
12549	"25920"	1	"Cover"	"Acrylic"		"Blue"	"~7'10x2'7=20.2'"	0.0000
12549	"25920"	1	"Window 1"	"A+V"		"Blue/Clear"	"~3'5x1'6=5.13'"	0.0000
12549	"25920"	1	"Window 2"	"A+V"		"Blue/Clear"	"~3'5x1'6=5.13'"	0.0000
12549	"25920"	1	"Window 3"	"A+V"		"Blue/Clear"	"(1/2)4'7x2'8=6.12'"	0.0000
12549	"25920"	1	"Window 4"	"A+V"		"Blue/Clear"	"(1/2)4'7x2'8=6.12'"	0.0000
12549	"25920"	1	"Window 5"	"A+V"		"Blue/Clear"	"2'8x2'4=6.25'"	0.0000
12550	"25897"	1	"Patio"	"Acrylic"		"Yellow/Grey Multi"	"18'x21'6=387'"	0.0000
12551	"24916"	1	"Mooring cover"	"Acrylic"		"Toast"	"~24x5'3=111.23'"	0.0000
12552	"20647"	1	"Patio"	"Acrylic"		"LtGrey"	"12'8x16'5=208.04'"	0.0000
12553	"11111"	1	"Dash Cover"	"Acrylic"		"Tan"	"~6'9x8'8=58.52'"	0.0000
