CustID,PhotoDate,Link,Notes
17304,"03/11/15 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Bellocq 35417 F.jpg#..\..\Pictures\CLEANING - REPAIRS\Bellocq 35417 F.jpg#",
17304,"03/11/15 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Bellocq 35417 G.jpg#..\..\Pictures\CLEANING - REPAIRS\Bellocq 35417 G.jpg#",
2649,"05/01/18 00:00:00","..\..\Pictures\CLEANING - REPAIRS\bertuzzi 5-18 A.jpg#..\..\Pictures\CLEANING - REPAIRS\bertuzzi 5-18 A.jpg#",
2649,"05/01/18 00:00:00","..\..\Pictures\CLEANING - REPAIRS\bertuzzi 5-18 B.jpg#..\..\Pictures\CLEANING - REPAIRS\bertuzzi 5-18 B.jpg#",
11787,"12/10/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Bialo 1.jpg#..\..\Pictures\CLEANING - REPAIRS\Bialo 1.jpg#",
11787,"12/10/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Bialo 2.jpg#..\..\Pictures\CLEANING - REPAIRS\Bialo 2.jpg#",
17424,"12/10/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\biondi umbrella.JPG#..\..\Pictures\CLEANING - REPAIRS\biondi umbrella.JPG#",
18071,"12/10/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Canny-Allerton B.jpg#..\..\Pictures\CLEANING - REPAIRS\Canny-Allerton B.jpg#",
18071,"12/10/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Canny-Allerton C.jpg#..\..\Pictures\CLEANING - REPAIRS\Canny-Allerton C.jpg#",
15872,"10/01/14 00:00:00","..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 A.JPG#..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 A.JPG#",
15872,"10/01/14 00:00:00","..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 B.JPG#..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 B.JPG#",
15872,"10/01/14 00:00:00","..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 C.JPG#..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 C.JPG#",
15872,"10/01/14 00:00:00","..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 D.JPG#..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 D.JPG#",
15872,"10/01/14 00:00:00","..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 E.JPG#..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 E.JPG#",
15872,"10/01/14 00:00:00","..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 F.JPG#..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 F.JPG#",
15872,"10/01/14 00:00:00","..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 G.JPG#..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 G.JPG#",
15872,"10/01/14 00:00:00","..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 H.JPG#..\..\Pictures\CLEANING - REPAIRS\CaseyBridget 10-14 H.JPG#",
21996,"12/10/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Cassin 1.jpg#..\..\Pictures\CLEANING - REPAIRS\Cassin 1.jpg#",
21996,"12/10/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Cassin 2.jpg#..\..\Pictures\CLEANING - REPAIRS\Cassin 2.jpg#",
21996,"12/10/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Cassin 3.jpg#..\..\Pictures\CLEANING - REPAIRS\Cassin 3.jpg#",
20794,"11/18/18 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Chin-WW 1.jpg#..\..\Pictures\CLEANING - REPAIRS\Chin-WW 1.jpg#",
20794,"11/18/18 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Chin-WW 2.jpg#..\..\Pictures\CLEANING - REPAIRS\Chin-WW 2.jpg#",
15821,"09/01/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Coletti 1.jpg#..\..\Pictures\CLEANING - REPAIRS\Coletti 1.jpg#",
15821,"09/01/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\coletti 2.jpg#..\..\Pictures\CLEANING - REPAIRS\coletti 2.jpg#",
15821,"09/01/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Coletti 3.jpg#..\..\Pictures\CLEANING - REPAIRS\Coletti 3.jpg#",
20943,"05/01/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\deadeyedicks1.JPG#..\..\Pictures\CLEANING - REPAIRS\deadeyedicks1.JPG#",
20943,"05/01/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\deadeyedicks2.JPG#..\..\Pictures\CLEANING - REPAIRS\deadeyedicks2.JPG#",
14340,"03/07/16 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Demarest-CanConn 36523.jpg#..\..\Pictures\CLEANING - REPAIRS\Demarest-CanConn 36523.jpg#",
